id,"date","label","value"
1,"2000-01-01","Bills (L)","104.1490"
2,"2000-02-01","Bills (L)","145.4220"
3,"2000-03-01","Bills (L)","236.1950"
4,"2000-04-01","Bills (L)","104.3480"
5,"2000-05-01","Bills (L)","101.8050"
6,"2000-06-01","Bills (L)","142.0970"
7,"2000-07-01","Bills (L)","100.0360"
8,"2000-08-01","Bills (L)","165.3130"
9,"2000-09-01","Bills (L)","134.1920"
10,"2000-10-01","Bills (L)","121.9310"
11,"2000-11-01","Bills (L)","206.3180"
12,"2000-12-01","Bills (L)","163.5890"
13,"2001-01-01","Bills (L)","164.9020"
14,"2001-02-01","Bills (L)","157.9330"
15,"2001-03-01","Bills (L)","216.8690"
16,"2001-04-01","Bills (L)","180.4480"
17,"2001-05-01","Bills (L)","166.1260"
18,"2001-06-01","Bills (L)","175.4030"
19,"2001-07-01","Bills (L)","166.0300"
20,"2001-08-01","Bills (L)","257.2900"
21,"2001-09-01","Bills (L)","181.2870"
22,"2001-10-01","Bills (L)","171.1600"
23,"2001-11-01","Bills (L)","305.3200"
24,"2001-12-01","Bills (L)","219.7720"
25,"2002-01-01","Bills (L)","230.9130"
26,"2002-02-01","Bills (L)","251.4890"
27,"2002-03-01","Bills (L)","233.5080"
28,"2002-04-01","Bills (L)","247.3970"
29,"2002-05-01","Bills (L)","329.9710"
30,"2002-06-01","Bills (L)","292.0340"
31,"2002-07-01","Bills (L)","252.8690"
32,"2002-08-01","Bills (L)","335.1540"
33,"2002-09-01","Bills (L)","254.3490"
34,"2002-10-01","Bills (L)","304.0030"
35,"2002-11-01","Bills (L)","255.4280"
36,"2002-12-01","Bills (L)","253.3990"
37,"2003-01-01","Bills (L)","298.1140"
38,"2003-02-01","Bills (L)","278.8940"
39,"2003-03-01","Bills (L)","305.4630"
40,"2003-04-01","Bills (L)","271.8610"
41,"2003-05-01","Bills (L)","332.3810"
42,"2003-06-01","Bills (L)","310.7400"
43,"2003-07-01","Bills (L)","309.5830"
44,"2003-08-01","Bills (L)","261.1290"
45,"2003-09-01","Bills (L)","262.8720"
46,"2003-10-01","Bills (L)","342.5960"
47,"2003-11-01","Bills (L)","259.8940"
48,"2003-12-01","Bills (L)","269.7480"
49,"2004-01-01","Bills (L)","312.3040"
50,"2004-02-01","Bills (L)","281.4210"
51,"2004-03-01","Bills (L)","307.2800"
52,"2004-04-01","Bills (L)","340.0090"
53,"2004-05-01","Bills (L)","278.1700"
54,"2004-06-01","Bills (L)","304.3410"
55,"2004-07-01","Bills (L)","363.9750"
56,"2004-08-01","Bills (L)","299.4230"
57,"2004-09-01","Bills (L)","384.6620"
58,"2004-10-01","Bills (L)","291.9000"
59,"2004-11-01","Bills (L)","309.7500"
60,"2004-12-01","Bills (L)","363.1240"
61,"2005-01-01","Bills (L)","256.5270"
62,"2005-02-01","Bills (L)","295.8240"
63,"2005-03-01","Bills (L)","404.8960"
64,"2005-04-01","Bills (L)","277.6750"
65,"2005-05-01","Bills (L)","234.9470"
66,"2005-06-01","Bills (L)","337.4600"
67,"2005-07-01","Bills (L)","272.4780"
68,"2005-08-01","Bills (L)","263.9560"
69,"2005-09-01","Bills (L)","342.6000"
70,"2005-10-01","Bills (L)","266.4390"
71,"2005-11-01","Bills (L)","294.6370"
72,"2005-12-01","Bills (L)","368.9060"
73,"2006-01-01","Bills (L)","255.3280"
74,"2006-02-01","Bills (L)","284.1310"
75,"2006-03-01","Bills (L)","406.5200"
76,"2006-04-01","Bills (L)","266.9150"
77,"2006-05-01","Bills (L)","244.2190"
78,"2006-06-01","Bills (L)","336.7760"
79,"2006-07-01","Bills (L)","257.9980"
80,"2006-08-01","Bills (L)","377.9310"
81,"2006-09-01","Bills (L)","295.6390"
82,"2006-10-01","Bills (L)","236.4050"
83,"2006-11-01","Bills (L)","382.3150"
84,"2006-12-01","Bills (L)","289.2720"
85,"2007-01-01","Bills (L)","223.1640"
86,"2007-02-01","Bills (L)","291.7050"
87,"2007-03-01","Bills (L)","437.4820"
88,"2007-04-01","Bills (L)","275.2000"
89,"2007-05-01","Bills (L)","293.8410"
90,"2007-06-01","Bills (L)","271.2630"
91,"2007-07-01","Bills (L)","247.7000"
92,"2007-08-01","Bills (L)","469.5110"
93,"2007-09-01","Bills (L)","272.0850"
94,"2007-10-01","Bills (L)","225.1260"
95,"2007-11-01","Bills (L)","423.5680"
96,"2007-12-01","Bills (L)","311.5830"
97,"2008-01-01","Bills (L)","309.0050"
98,"2008-02-01","Bills (L)","411.8880"
99,"2008-03-01","Bills (L)","375.4810"
100,"2008-04-01","Bills (L)","301.8250"
101,"2008-05-01","Bills (L)","425.0310"
102,"2008-06-01","Bills (L)","312.0190"
103,"2008-07-01","Bills (L)","436.4470"
104,"2008-08-01","Bills (L)","423.9040"
105,"2008-09-01","Bills (L)","677.0150"
106,"2008-10-01","Bills (L)","993.2890"
107,"2008-11-01","Bills (L)","570.4170"
108,"2008-12-01","Bills (L)","391.4230"
109,"2009-01-01","Bills (L)","618.7110"
110,"2009-02-01","Bills (L)","527.4340"
111,"2009-03-01","Bills (L)","550.4400"
112,"2009-04-01","Bills (L)","553.8210"
113,"2009-05-01","Bills (L)","585.3180"
114,"2009-06-01","Bills (L)","500.3870"
115,"2009-07-01","Bills (L)","685.3710"
116,"2009-08-01","Bills (L)","557.4400"
117,"2009-09-01","Bills (L)","386.4400"
118,"2009-10-01","Bills (L)","519.2250"
119,"2009-11-01","Bills (L)","409.4370"
120,"2009-12-01","Bills (L)","523.7140"
121,"2010-01-01","Bills (L)","286.4230"
122,"2010-02-01","Bills (L)","385.4460"
123,"2010-03-01","Bills (L)","489.4540"
124,"2010-04-01","Bills (L)","599.8740"
125,"2010-05-01","Bills (L)","466.4310"
126,"2010-06-01","Bills (L)","510.4370"
127,"2010-07-01","Bills (L)","662.3770"
128,"2010-08-01","Bills (L)","548.4590"
129,"2010-09-01","Bills (L)","615.1750"
130,"2010-10-01","Bills (L)","466.4360"
131,"2010-11-01","Bills (L)","469.4550"
132,"2010-12-01","Bills (L)","599.7820"
133,"2011-01-01","Bills (L)","468.4460"
134,"2011-02-01","Bills (L)","458.4210"
135,"2011-03-01","Bills (L)","583.8680"
136,"2011-04-01","Bills (L)","424.4330"
137,"2011-05-01","Bills (L)","373.4500"
138,"2011-06-01","Bills (L)","482.3830"
139,"2011-07-01","Bills (L)","361.4330"
140,"2011-08-01","Bills (L)","430.4550"
141,"2011-09-01","Bills (L)","519.2300"
142,"2011-10-01","Bills (L)","397.4360"
143,"2011-11-01","Bills (L)","407.4390"
144,"2011-12-01","Bills (L)","494.7520"
145,"2012-01-01","Bills (L)","387.4090"
146,"2012-02-01","Bills (L)","466.4030"
147,"2012-03-01","Bills (L)","577.8600"
148,"2012-04-01","Bills (L)","400.4230"
149,"2012-05-01","Bills (L)","512.3580"
150,"2012-06-01","Bills (L)","391.4060"
151,"2012-07-01","Bills (L)","373.0080"
152,"2012-08-01","Bills (L)","590.0130"
153,"2012-09-01","Bills (L)","460.0030"
154,"2012-10-01","Bills (L)","424.9970"
155,"2012-11-01","Bills (L)","579.9880"
156,"2012-12-01","Bills (L)","459.9800"
157,"2013-01-01","Bills (L)","499.9620"
158,"2013-02-01","Bills (L)","534.9980"
159,"2013-03-01","Bills (L)","495.0000"
160,"2013-04-01","Bills (L)","454.9980"
161,"2013-05-01","Bills (L)","476.9860"
162,"2013-06-01","Bills (L)","399.9950"
163,"2013-07-01","Bills (L)","384.9990"
164,"2013-08-01","Bills (L)","584.9980"
165,"2013-09-01","Bills (L)","462.0010"
166,"2013-10-01","Bills (L)","576.9930"
167,"2013-11-01","Bills (L)","448.9840"
168,"2013-12-01","Bills (L)","395.9930"
169,"2014-01-01","Bills (L)","363.0090"
170,"2014-02-01","Bills (L)","437.9970"
171,"2014-03-01","Bills (L)","373.9980"
172,"2014-04-01","Bills (L)","316.9990"
173,"2014-05-01","Bills (L)","480.0020"
174,"2014-06-01","Bills (L)","362.0000"
175,"2014-07-01","Bills (L)","445.0050"
176,"2014-08-01","Bills (L)","429.0130"
177,"2014-09-01","Bills (L)","379.9810"
178,"2014-10-01","Bills (L)","442.9650"
179,"2014-11-01","Bills (L)","390.9850"
180,"2014-12-01","Bills (L)","392.9610"
181,"2015-01-01","Bills (L)","414.9950"
182,"2015-02-01","Bills (L)","392.9990"
183,"2015-03-01","Bills (L)","379.0000"
184,"2015-04-01","Bills (L)","449.9970"
185,"2015-05-01","Bills (L)","377.0020"
186,"2015-06-01","Bills (L)","366.9980"
187,"2015-07-01","Bills (L)","460.0060"
188,"2015-08-01","Bills (L)","398.9870"
189,"2015-09-01","Bills (L)","342.0090"
190,"2015-10-01","Bills (L)","315.0240"
191,"2015-11-01","Bills (L)","487.9880"
192,"2015-12-01","Bills (L)","508.9770"
193,"2016-01-01","Bills (L)","437.9770"
194,"2016-02-01","Bills (L)","505.9930"
195,"2016-03-01","Bills (L)","635.0030"
196,"2016-04-01","Bills (L)","367.9930"
197,"2016-05-01","Bills (L)","417.9850"
198,"2016-06-01","Bills (L)","529.9840"
199,"2016-07-01","Bills (L)","469.9630"
200,"2016-08-01","Bills (L)","526.0120"
201,"2016-09-01","Bills (L)","593.0090"
202,"2016-10-01","Bills (L)","506.9740"
203,"2016-11-01","Bills (L)","565.9860"
204,"2016-12-01","Bills (L)","573.9930"
205,"2017-01-01","Bills (L)","447.9920"
206,"2017-02-01","Bills (L)","487.9860"
207,"2017-03-01","Bills (L)","651.9960"
208,"2017-04-01","Bills (L)","533.0280"
209,"2017-05-01","Bills (L)","527.9840"
210,"2017-06-01","Bills (L)","599.9930"
211,"2017-07-01","Bills (L)","477.9830"
212,"2017-08-01","Bills (L)","579.9520"
213,"2017-09-01","Bills (L)","529.9980"
214,"2017-10-01","Bills (L)","486.9860"
215,"2017-11-01","Bills (L)","699.9620"
216,"2017-12-01","Bills (L)","538.9870"
217,"2018-01-01","Bills (L)","560.0110"
218,"2018-02-01","Bills (L)","610.9980"
219,"2018-03-01","Bills (L)","845.9950"
220,"2018-04-01","Bills (L)","575.9990"
221,"2018-05-01","Bills (L)","695.9860"
222,"2018-06-01","Bills (L)","525.9830"
223,"2018-07-01","Bills (L)","567.9090"
224,"2018-08-01","Bills (L)","846.0060"
225,"2018-09-01","Bills (L)","565.9950"
226,"2018-10-01","Bills (L)","584.0210"
227,"2018-11-01","Bills (L)","821.1000"
228,"2018-12-01","Bills (L)","605.9960"
229,"2019-01-01","Bills (L)","799.0048"
230,"2019-02-01","Bills (L)","755.0061"
231,"2019-03-01","Bills (L)","807.0067"
232,"2019-04-01","Bills (L)","769.0077"
233,"2019-05-01","Bills (L)","750.0055"
234,"2019-06-01","Bills (L)","614.0085"
235,"2019-07-01","Bills (L)","674.0035"
236,"2019-08-01","Bills (L)","821.0059"
237,"2019-09-01","Bills (L)","741.0541"
238,"2019-10-01","Bills (L)","913.1327"
239,"2019-11-01","Bills (L)","765.1283"
240,"2019-12-01","Bills (L)","727.4691"
241,"2020-01-01","Bills (L)","758.6366"
242,"2020-02-01","Bills (L)","830.9777"
243,"2020-03-01","Bills (L)","946.0200"
244,"2020-04-01","Bills (L)","2236.5820"
245,"2020-05-01","Bills (L)","1888.4050"
246,"2020-06-01","Bills (L)","1979.5000"
247,"2020-07-01","Bills (L)","1530.4000"
248,"2020-08-01","Bills (L)","1248.4000"
249,"2020-09-01","Bills (L)","1363.8000"
250,"2020-10-01","Bills (L)","1427.4000"
251,"2020-11-01","Bills (L)","1254.5000"
252,"2020-12-01","Bills (L)","1591.1000"
253,"2021-01-01","Bills (L)","1258.1000"
254,"2021-02-01","Bills (L)","1168.3000"
255,"2021-03-01","Bills (L)","1184.2000"
256,"2021-04-01","Bills (L)","1342.8000"
257,"2021-05-01","Bills (L)","1178.2000"
258,"2021-06-01","Bills (L)","1286.6000"
259,"2021-07-01","Bills (L)","1279.3000"
260,"2021-08-01","Bills (L)","1178.9000"
261,"2021-09-01","Bills (L)","975.5000"
262,"2021-10-01","Bills (L)","1101.4000"
263,"2021-11-01","Bills (L)","1169.0000"
264,"2021-12-01","Bills (L)","1250.4000"
265,"2022-01-01","Bills (L)","1082.5000"
266,"2022-02-01","Bills (L)","1079.1000"
267,"2022-03-01","Bills (L)","1219.9000"
268,"2022-04-01","Bills (L)","909.1000"
269,"2022-05-01","Bills (L)","945.9000"
270,"2022-06-01","Bills (L)","933.1000"
271,"2022-07-01","Bills (L)","929.4000"
272,"2022-08-01","Bills (L)","1239.4000"
273,"2022-09-01","Bills (L)","1079.7000"
274,"2022-10-01","Bills (L)","1050.7000"
275,"2022-11-01","Bills (L)","1311.2000"
276,"2022-12-01","Bills (L)","1124.0000"
277,"2023-01-01","Bills (L)","1371.4000"
278,"2023-02-01","Bills (L)","1256.6000"
279,"2023-03-01","Bills (L)","1310.0000"
280,"2023-04-01","Bills (L)","1085.9000"
281,"2023-05-01","Bills (L)","1381.4000"
282,"2023-06-01","Bills (L)","1642.2000"
