id,"date","label","value"
1,"2000-01-01","Bonds (L)","0.0000"
2,"2000-02-01","Bonds (L)","11.2690"
3,"2000-03-01","Bonds (L)","0.0000"
4,"2000-04-01","Bonds (L)","0.0000"
5,"2000-05-01","Bonds (L)","0.0000"
6,"2000-06-01","Bonds (L)","0.0000"
7,"2000-07-01","Bonds (L)","0.0000"
8,"2000-08-01","Bonds (L)","5.7740"
9,"2000-09-01","Bonds (L)","0.0000"
10,"2000-10-01","Bonds (L)","5.0010"
11,"2000-11-01","Bonds (L)","0.0000"
12,"2000-12-01","Bonds (L)","0.0000"
13,"2001-01-01","Bonds (L)","0.0000"
14,"2001-02-01","Bonds (L)","10.8870"
15,"2001-03-01","Bonds (L)","0.0000"
16,"2001-04-01","Bonds (L)","0.0000"
17,"2001-05-01","Bonds (L)","0.0000"
18,"2001-06-01","Bonds (L)","0.0000"
19,"2001-07-01","Bonds (L)","0.0000"
20,"2001-08-01","Bonds (L)","5.5410"
21,"2001-09-01","Bonds (L)","0.0000"
22,"2001-10-01","Bonds (L)","5.0120"
23,"2001-11-01","Bonds (L)","0.0000"
24,"2001-12-01","Bonds (L)","0.0000"
25,"2002-01-01","Bonds (L)","0.0000"
26,"2002-02-01","Bonds (L)","0.0000"
27,"2002-03-01","Bonds (L)","0.0000"
28,"2002-04-01","Bonds (L)","0.0000"
29,"2002-05-01","Bonds (L)","0.0000"
30,"2002-06-01","Bonds (L)","0.0000"
31,"2002-07-01","Bonds (L)","0.0000"
32,"2002-08-01","Bonds (L)","0.0000"
33,"2002-09-01","Bonds (L)","0.0000"
34,"2002-10-01","Bonds (L)","0.0000"
35,"2002-11-01","Bonds (L)","0.0000"
36,"2002-12-01","Bonds (L)","0.0000"
37,"2003-01-01","Bonds (L)","0.0000"
38,"2003-02-01","Bonds (L)","0.0000"
39,"2003-03-01","Bonds (L)","0.0000"
40,"2003-04-01","Bonds (L)","0.0000"
41,"2003-05-01","Bonds (L)","0.0000"
42,"2003-06-01","Bonds (L)","0.0000"
43,"2003-07-01","Bonds (L)","0.0000"
44,"2003-08-01","Bonds (L)","0.0000"
45,"2003-09-01","Bonds (L)","0.0000"
46,"2003-10-01","Bonds (L)","0.0000"
47,"2003-11-01","Bonds (L)","0.0000"
48,"2003-12-01","Bonds (L)","0.0000"
49,"2004-01-01","Bonds (L)","0.0000"
50,"2004-02-01","Bonds (L)","0.0000"
51,"2004-03-01","Bonds (L)","0.0000"
52,"2004-04-01","Bonds (L)","0.0000"
53,"2004-05-01","Bonds (L)","0.0000"
54,"2004-06-01","Bonds (L)","0.0000"
55,"2004-07-01","Bonds (L)","11.0010"
56,"2004-08-01","Bonds (L)","0.0000"
57,"2004-09-01","Bonds (L)","0.0000"
58,"2004-10-01","Bonds (L)","0.0000"
59,"2004-11-01","Bonds (L)","0.0000"
60,"2004-12-01","Bonds (L)","0.0000"
61,"2005-01-01","Bonds (L)","11.0000"
62,"2005-02-01","Bonds (L)","-0.0010"
63,"2005-03-01","Bonds (L)","0.0000"
64,"2005-04-01","Bonds (L)","0.0000"
65,"2005-05-01","Bonds (L)","0.0000"
66,"2005-06-01","Bonds (L)","0.0000"
67,"2005-07-01","Bonds (L)","6.0000"
68,"2005-08-01","Bonds (L)","0.0000"
69,"2005-09-01","Bonds (L)","0.0000"
70,"2005-10-01","Bonds (L)","0.0000"
71,"2005-11-01","Bonds (L)","0.0000"
72,"2005-12-01","Bonds (L)","0.0000"
73,"2006-01-01","Bonds (L)","11.7650"
74,"2006-02-01","Bonds (L)","14.8410"
75,"2006-03-01","Bonds (L)","0.0000"
76,"2006-04-01","Bonds (L)","0.0000"
77,"2006-05-01","Bonds (L)","0.0000"
78,"2006-06-01","Bonds (L)","0.0000"
79,"2006-07-01","Bonds (L)","8.2350"
80,"2006-08-01","Bonds (L)","11.5560"
81,"2006-09-01","Bonds (L)","0.0000"
82,"2006-10-01","Bonds (L)","0.0000"
83,"2006-11-01","Bonds (L)","0.0000"
84,"2006-12-01","Bonds (L)","0.0000"
85,"2007-01-01","Bonds (L)","9.1890"
86,"2007-02-01","Bonds (L)","9.8260"
87,"2007-03-01","Bonds (L)","0.0000"
88,"2007-04-01","Bonds (L)","0.0000"
89,"2007-05-01","Bonds (L)","6.7640"
90,"2007-06-01","Bonds (L)","0.0000"
91,"2007-07-01","Bonds (L)","7.2940"
92,"2007-08-01","Bonds (L)","13.8460"
93,"2007-09-01","Bonds (L)","0.0000"
94,"2007-10-01","Bonds (L)","0.0000"
95,"2007-11-01","Bonds (L)","7.5670"
96,"2007-12-01","Bonds (L)","0.0000"
97,"2008-01-01","Bonds (L)","8.9740"
98,"2008-02-01","Bonds (L)","13.2940"
99,"2008-03-01","Bonds (L)","0.0000"
100,"2008-04-01","Bonds (L)","0.0000"
101,"2008-05-01","Bonds (L)","9.2310"
102,"2008-06-01","Bonds (L)","0.0000"
103,"2008-07-01","Bonds (L)","6.6600"
104,"2008-08-01","Bonds (L)","13.7280"
105,"2008-09-01","Bonds (L)","0.0000"
106,"2008-10-01","Bonds (L)","0.0000"
107,"2008-11-01","Bonds (L)","11.7720"
108,"2008-12-01","Bonds (L)","0.0000"
109,"2009-01-01","Bonds (L)","8.0000"
110,"2009-02-01","Bonds (L)","14.7130"
111,"2009-03-01","Bonds (L)","11.1960"
112,"2009-04-01","Bonds (L)","0.0000"
113,"2009-05-01","Bonds (L)","16.4770"
114,"2009-06-01","Bonds (L)","11.1160"
115,"2009-07-01","Bonds (L)","17.3370"
116,"2009-08-01","Bonds (L)","17.3170"
117,"2009-09-01","Bonds (L)","12.0250"
118,"2009-10-01","Bonds (L)","12.0880"
119,"2009-11-01","Bonds (L)","17.9890"
120,"2009-12-01","Bonds (L)","13.0700"
121,"2010-01-01","Bonds (L)","13.5050"
122,"2010-02-01","Bonds (L)","25.7970"
123,"2010-03-01","Bonds (L)","13.1540"
124,"2010-04-01","Bonds (L)","13.9520"
125,"2010-05-01","Bonds (L)","17.3940"
126,"2010-06-01","Bonds (L)","13.0750"
127,"2010-07-01","Bonds (L)","13.0040"
128,"2010-08-01","Bonds (L)","24.1300"
129,"2010-09-01","Bonds (L)","13.1410"
130,"2010-10-01","Bonds (L)","13.1140"
131,"2010-11-01","Bonds (L)","16.4290"
132,"2010-12-01","Bonds (L)","13.1890"
133,"2011-01-01","Bonds (L)","13.2850"
134,"2011-02-01","Bonds (L)","25.8610"
135,"2011-03-01","Bonds (L)","12.9990"
136,"2011-04-01","Bonds (L)","13.6400"
137,"2011-05-01","Bonds (L)","16.0000"
138,"2011-06-01","Bonds (L)","20.2210"
139,"2011-07-01","Bonds (L)","13.0000"
140,"2011-08-01","Bonds (L)","16.4900"
