id,"date","label","value"
1,"2000-01-01","Notes (L)","25.6990"
2,"2000-02-01","Notes (L)","43.0980"
3,"2000-03-01","Notes (L)","17.2430"
4,"2000-04-01","Notes (L)","-0.0120"
5,"2000-05-01","Notes (L)","58.7730"
6,"2000-06-01","Notes (L)","14.3230"
7,"2000-07-01","Notes (L)","20.0590"
8,"2000-08-01","Notes (L)","40.5990"
9,"2000-09-01","Notes (L)","-0.0370"
10,"2000-10-01","Notes (L)","30.0380"
11,"2000-11-01","Notes (L)","40.9040"
12,"2000-12-01","Notes (L)","0.0080"
13,"2001-01-01","Notes (L)","36.2900"
14,"2001-02-01","Notes (L)","38.9190"
15,"2001-03-01","Notes (L)","-0.0220"
16,"2001-04-01","Notes (L)","28.0150"
17,"2001-05-01","Notes (L)","40.9730"
18,"2001-06-01","Notes (L)","-0.0020"
19,"2001-07-01","Notes (L)","35.6760"
20,"2001-08-01","Notes (L)","42.3310"
21,"2001-09-01","Notes (L)","-0.0040"
22,"2001-10-01","Notes (L)","53.8240"
23,"2001-11-01","Notes (L)","53.5640"
24,"2001-12-01","Notes (L)","29.6640"
25,"2002-01-01","Notes (L)","36.7820"
26,"2002-02-01","Notes (L)","61.7060"
27,"2002-03-01","Notes (L)","0.0050"
28,"2002-04-01","Notes (L)","65.5320"
29,"2002-05-01","Notes (L)","69.0420"
30,"2002-06-01","Notes (L)","-0.0070"
31,"2002-07-01","Notes (L)","77.3200"
32,"2002-08-01","Notes (L)","45.0540"
33,"2002-09-01","Notes (L)","69.1990"
34,"2002-10-01","Notes (L)","39.4360"
35,"2002-11-01","Notes (L)","41.4240"
36,"2002-12-01","Notes (L)","66.0760"
37,"2003-01-01","Notes (L)","39.8410"
38,"2003-02-01","Notes (L)","82.3210"
39,"2003-03-01","Notes (L)","35.2110"
40,"2003-04-01","Notes (L)","34.2930"
41,"2003-05-01","Notes (L)","58.9840"
42,"2003-06-01","Notes (L)","77.7230"
43,"2003-07-01","Notes (L)","41.0050"
44,"2003-08-01","Notes (L)","69.7850"
45,"2003-09-01","Notes (L)","91.1340"
46,"2003-10-01","Notes (L)","57.3660"
47,"2003-11-01","Notes (L)","63.3560"
48,"2003-12-01","Notes (L)","94.1930"
49,"2004-01-01","Notes (L)","28.0070"
50,"2004-02-01","Notes (L)","92.5180"
51,"2004-03-01","Notes (L)","95.3420"
52,"2004-04-01","Notes (L)","59.3390"
53,"2004-05-01","Notes (L)","62.9210"
54,"2004-06-01","Notes (L)","88.9090"
55,"2004-07-01","Notes (L)","25.0020"
56,"2004-08-01","Notes (L)","120.5160"
57,"2004-09-01","Notes (L)","55.6600"
58,"2004-10-01","Notes (L)","36.0090"
59,"2004-11-01","Notes (L)","122.1510"
60,"2004-12-01","Notes (L)","55.9530"
61,"2005-01-01","Notes (L)","54.0350"
62,"2005-02-01","Notes (L)","87.7230"
63,"2005-03-01","Notes (L)","56.0090"
64,"2005-04-01","Notes (L)","32.9990"
65,"2005-05-01","Notes (L)","123.0450"
66,"2005-06-01","Notes (L)","48.6660"
67,"2005-07-01","Notes (L)","22.0000"
68,"2005-08-01","Notes (L)","102.2700"
69,"2005-09-01","Notes (L)","47.5880"
70,"2005-10-01","Notes (L)","54.5530"
71,"2005-11-01","Notes (L)","79.3000"
72,"2005-12-01","Notes (L)","20.9990"
73,"2006-01-01","Notes (L)","75.8390"
74,"2006-02-01","Notes (L)","80.1550"
75,"2006-03-01","Notes (L)","52.3440"
76,"2006-04-01","Notes (L)","18.9930"
77,"2006-05-01","Notes (L)","130.0910"
78,"2006-06-01","Notes (L)","51.9990"
79,"2006-07-01","Notes (L)","53.8470"
80,"2006-08-01","Notes (L)","81.9830"
81,"2006-09-01","Notes (L)","7.9970"
82,"2006-10-01","Notes (L)","99.5010"
83,"2006-11-01","Notes (L)","81.4420"
84,"2006-12-01","Notes (L)","7.9980"
85,"2007-01-01","Notes (L)","90.1050"
86,"2007-02-01","Notes (L)","71.3340"
87,"2007-03-01","Notes (L)","8.0000"
88,"2007-04-01","Notes (L)","94.3520"
89,"2007-05-01","Notes (L)","75.2500"
90,"2007-06-01","Notes (L)","7.9980"
91,"2007-07-01","Notes (L)","83.6170"
