Date,"30-Year Mortgage Rate","Adjusted 30-Year Mortgage Rate","Synthetic 10-Year Yield","10-Year Treasury Rate"
1971-04-02,7.33,7.43,6.93,5.60
1971-04-09,7.31,7.41,6.91,
1971-04-16,7.31,7.41,6.91,5.82
1971-04-23,7.31,7.41,6.91,6.01
1971-04-30,7.29,7.39,6.89,6.08
1971-05-07,7.38,7.48,6.98,6.25
1971-05-14,7.42,7.52,7.02,6.49
1971-05-21,7.44,7.54,7.04,6.53
1971-05-28,7.46,7.56,7.06,6.38
1971-06-04,7.52,7.62,7.12,6.26
1971-06-11,7.52,7.62,7.12,6.50
1971-06-18,7.54,7.64,7.14,6.58
1971-06-25,7.54,7.64,7.14,6.62
1971-07-02,7.54,7.64,7.14,6.69
1971-07-09,7.54,7.64,7.14,6.68
1971-07-16,7.60,7.7,7.2,6.66
1971-07-23,7.65,7.75,7.25,6.84
1971-07-30,7.69,7.79,7.29,6.85
1971-08-06,7.66,7.76,7.26,6.86
1971-08-13,7.73,7.83,7.33,6.68
1971-08-20,7.71,7.81,7.31,6.37
1971-08-27,7.69,7.79,7.29,6.33
1971-09-03,7.71,7.81,7.31,6.12
1971-09-10,7.67,7.77,7.27,6.12
1971-09-17,7.70,7.8,7.3,6.13
1971-09-24,7.67,7.77,7.27,6.16
1971-10-01,7.67,7.77,7.27,6.00
1971-10-08,7.63,7.73,7.23,5.94
1971-10-15,7.63,7.73,7.23,5.90
1971-10-22,7.58,7.68,7.18,5.90
1971-10-29,7.63,7.73,7.23,5.87
1971-11-05,7.59,7.69,7.19,5.72
1971-11-12,7.56,7.66,7.16,5.77
1971-11-19,7.54,7.64,7.14,5.79
1971-11-26,7.51,7.61,7.11,5.94
1971-12-03,7.49,7.59,7.09,5.88
1971-12-10,7.47,7.57,7.07,5.93
1971-12-17,7.48,7.58,7.08,5.93
1971-12-24,7.48,7.58,7.08,
1971-12-31,7.48,7.58,7.08,5.89
1972-01-07,7.46,7.56,7.06,5.88
1972-01-14,7.46,7.56,7.06,5.85
1972-01-21,7.43,7.53,7.03,5.99
1972-01-28,7.40,7.5,7,6.08
1972-02-04,7.35,7.45,6.95,6.08
1972-02-11,7.33,7.43,6.93,6.12
1972-02-18,7.31,7.41,6.91,6.06
1972-02-25,7.31,7.41,6.91,6.06
1972-03-03,7.32,7.42,6.92,6.02
1972-03-10,7.32,7.42,6.92,6.03
1972-03-17,7.31,7.41,6.91,6.08
1972-03-24,7.31,7.41,6.91,6.12
1972-03-31,7.23,7.33,6.83,
1972-04-07,7.25,7.35,6.85,6.18
1972-04-14,7.29,7.39,6.89,6.25
1972-04-21,7.29,7.39,6.89,6.20
1972-04-28,7.33,7.43,6.93,6.14
1972-05-05,7.33,7.43,6.93,6.17
1972-05-12,7.38,7.48,6.98,6.16
1972-05-19,7.38,7.48,6.98,6.10
1972-05-26,7.40,7.5,7,6.04
1972-06-02,7.36,7.46,6.96,6.09
1972-06-09,7.38,7.48,6.98,6.11
1972-06-16,7.38,7.48,6.98,6.10
1972-06-23,7.36,7.46,6.96,6.10
1972-06-30,7.38,7.48,6.98,6.15
1972-07-07,7.38,7.48,6.98,6.13
1972-07-14,7.40,7.5,7,6.10
1972-07-21,7.40,7.5,7,6.10
1972-07-28,7.40,7.5,7,6.12
1972-08-04,7.35,7.45,6.95,6.16
1972-08-11,7.41,7.51,7.01,6.14
1972-08-18,7.42,7.52,7.02,6.21
1972-08-25,7.42,7.52,7.02,6.26
1972-09-01,7.42,7.52,7.02,6.43
1972-09-08,7.42,7.52,7.02,6.56
1972-09-15,7.42,7.52,7.02,6.56
1972-09-22,7.41,7.51,7.01,6.62
1972-09-29,7.43,7.53,7.03,6.54
1972-10-06,7.41,7.51,7.01,6.52
1972-10-13,7.41,7.51,7.01,6.50
1972-10-20,7.44,7.54,7.04,6.47
1972-10-27,7.42,7.52,7.02,6.42
1972-11-03,7.43,7.53,7.03,6.30
1972-11-10,7.42,7.52,7.02,6.30
1972-11-17,7.42,7.52,7.02,6.24
1972-11-24,7.44,7.54,7.04,6.27
1972-12-01,7.45,7.55,7.05,6.29
1972-12-08,7.43,7.53,7.03,6.32
1972-12-15,7.43,7.53,7.03,6.35
1972-12-22,7.45,7.55,7.05,6.40
1972-12-29,7.45,7.55,7.05,6.41
1973-01-05,7.44,7.54,7.04,6.42
1973-01-12,7.44,7.54,7.04,6.44
1973-01-19,7.44,7.54,7.04,6.49
1973-01-26,7.43,7.53,7.03,6.53
1973-02-02,7.43,7.53,7.03,6.64
1973-02-09,7.43,7.53,7.03,6.63
1973-02-16,7.45,7.55,7.05,6.63
1973-02-23,7.45,7.55,7.05,6.61
1973-03-02,7.45,7.55,7.05,6.67
1973-03-09,7.45,7.55,7.05,6.68
1973-03-16,7.45,7.55,7.05,6.77
1973-03-23,7.45,7.55,7.05,6.76
1973-03-30,7.49,7.59,7.09,6.73
1973-04-06,7.51,7.61,7.11,6.64
1973-04-13,7.54,7.64,7.14,6.63
1973-04-20,7.56,7.66,7.16,
1973-04-27,7.56,7.66,7.16,6.69
1973-05-04,7.58,7.68,7.18,6.79
1973-05-11,7.64,7.74,7.24,6.82
1973-05-18,7.69,7.79,7.29,6.86
1973-05-24,7.70,7.8,7.3,6.91
1973-06-01,7.70,7.8,7.3,6.96
1973-06-08,7.73,7.83,7.33,6.87
1973-06-15,7.73,7.83,7.33,6.86
1973-06-22,7.75,7.85,7.35,6.91
1973-06-29,7.76,7.86,7.36,6.94
1973-07-06,7.89,7.99,7.49,7.03
1973-07-13,8.01,8.11,7.61,7.05
1973-07-20,8.12,8.22,7.72,7.17
