Date,"30-Year Mortgage Rate","Synthetic 10-2 Spread","T10Y2Y Spread"
1998-01-02,7.03,-0.53,0.08
1998-01-09,6.94,-0.2,0.23
1998-01-16,6.89,-0.43,0.19
1998-01-23,6.99,-0.4,0.28
1998-01-30,7.12,-0.17,0.21
1998-02-06,7.03,-0.32,0.24
1998-02-13,7.06,-0.27,0.13
1998-02-20,6.99,-0.39,0.13
1998-02-28,7.09,,
1998-03-06,7.19,-0.36,0.15
1998-03-13,7.16,-0.31,0.08
1998-03-20,7.08,-0.41,0.05
1998-03-27,7.08,-0.52,0.05
1998-04-03,7.15,-0.24,0.05
1998-04-10,7.09,,
1998-04-17,7.17,-0.34,0.05
1998-04-24,7.15,-0.43,0.06
1998-05-01,7.22,-0.34,0.08
1998-05-08,7.14,-0.44,0.10
1998-05-15,7.19,-0.41,0.05
1998-05-22,7.10,-0.5,0.01
1998-05-29,7.07,-0.43,0.03
1998-06-05,7.05,-0.5,0.00
1998-06-12,7.04,-0.36,0.00
1998-06-19,6.94,-0.55,-0.05
1998-06-26,6.96,-0.52,-0.05
1998-07-03,6.98,,
1998-07-10,6.91,-0.47,0.01
1998-07-17,6.94,-0.49,0.05
1998-07-24,6.96,-0.49,-0.03
1998-07-31,6.97,-0.49,0.01
1998-08-07,6.94,-0.37,0.06
1998-08-14,6.91,-0.4,0.06
1998-08-21,6.92,-0.3,0.07
1998-08-28,6.92,0.02,0.16
1998-09-04,6.82,-0.06,0.11
1998-09-11,6.77,0.12,0.17
1998-09-18,6.66,0.08,0.09
1998-09-25,6.64,0.24,0.17
1998-10-02,6.60,0.46,0.14
1998-10-09,6.49,0.33,0.58
1998-10-16,6.90,1.07,0.58
1998-10-23,6.73,0.56,0.50
1998-10-30,6.83,0.74,0.52
1998-11-06,6.89,0.33,0.34
1998-11-13,6.93,0.42,0.28
1998-11-20,6.86,0.23,0.16
1998-11-27,6.78,0.19,0.19
1998-12-04,6.71,0.28,0.16
1998-12-11,6.69,0.26,0.15
1998-12-18,6.69,0.27,0.13
1998-12-25,6.77,,
1998-12-31,6.83,0.32,0.11
1999-01-08,6.79,0.11,0.15
1999-01-15,6.83,0.3,0.10
1999-01-22,6.78,0.22,0.05
1999-01-29,6.74,0.19,0.08
1999-02-05,6.75,-0.02,0.14
1999-02-12,6.77,-0.11,0.15
1999-02-19,6.82,-0.1,0.12
1999-02-26,6.89,-0.21,0.16
1999-03-05,7.06,-0.05,0.20
1999-03-12,7.11,0.14,0.16
1999-03-19,7.01,0,0.13
1999-03-26,6.98,0.02,0.22
1999-04-02,6.98,0.050000000000001,0.24
1999-04-09,6.92,0.07,0.17
1999-04-16,6.87,-0.12,0.21
1999-04-23,6.88,-0.13,0.22
1999-04-30,6.93,-0.12,0.28
1999-05-07,7.02,-0.14,0.35
1999-05-14,7.10,-0.17,0.32
1999-05-21,7.23,-0.039999999999999,0.22
1999-05-28,7.23,-0.16,0.22
1999-06-04,7.41,-0.12,0.26
1999-06-11,7.51,-0.16,0.32
1999-06-18,7.65,0.12,0.28
1999-06-25,7.63,-0.07,0.29
1999-07-02,7.71,0.16,0.24
1999-07-09,7.65,0.07,0.23
1999-07-16,7.58,0.11,0.18
1999-07-23,7.52,-0.03,0.26
1999-07-30,7.70,0.1,0.29
1999-08-06,7.89,0.23,0.33
1999-08-13,8.15,0.47,0.27
1999-08-20,7.93,0.31,0.23
1999-08-27,7.80,0.18,0.20
1999-09-03,7.83,0.22,0.25
1999-09-10,7.88,0.27,0.25
1999-09-17,7.82,0.22,0.24
1999-09-24,7.76,0.24,0.20
1999-10-01,7.70,0,0.27
1999-10-08,7.82,0.050000000000001,0.24
1999-10-15,7.85,0.06,0.27
1999-10-22,7.93,0,0.25
1999-10-29,7.96,0.2,0.23
1999-11-05,7.84,0.15,0.20
1999-11-12,7.67,-0.08,0.15
1999-11-19,7.69,-0.2,0.15
1999-11-26,7.75,-0.21,0.13
1999-12-03,7.84,-0.12,0.18
1999-12-10,7.84,-0.06,0.15
1999-12-17,7.86,-0.26,0.15
1999-12-24,7.96,,
1999-12-31,8.06,-0.15,0.21
2000-01-07,8.15,-0.13,0.21
2000-01-14,8.18,-0.23,0.25
2000-01-21,8.26,-0.19,0.31
2000-01-28,8.25,-0.3,0.08
2000-02-04,8.25,-0.35,-0.10
2000-02-11,8.36,-0.26,-0.02
2000-02-18,8.38,-0.25,-0.17
2000-02-25,8.31,-0.11,-0.09
2000-03-03,8.27,-0.2,-0.11
2000-03-10,8.23,-0.29,-0.16
2000-03-17,8.24,-0.23,-0.30
2000-03-24,8.23,-0.38,-0.44
2000-03-31,8.23,-0.24,-0.47
2000-04-07,8.20,-0.15,-0.52
2000-04-14,8.12,-0.12,-0.42
2000-04-21,8.16,,
2000-04-28,8.13,-0.52,-0.45
2000-05-05,8.28,-0.53,-0.33
